model,extraction_point,experiment_probe_accuracy,random_label_accuracy,activity_probe_r2,activity_probe_spearman
bilstm_baseline_mse_seed42,pre_bn_raw,0.5566666666666666,0.5108333333333334,0.3487839698791504,0.5248026122150304
bilstm_baseline_mse_seed42,denoised,0.5541666666666667,0.5075,0.34892839193344116,0.5253444116087409
bilstm_ranking_seed42,pre_bn_raw,0.5725,0.4875,0.3365497589111328,0.5285555447192675
bilstm_ranking_seed42,denoised,0.5733333333333334,0.49083333333333334,0.33441364765167236,0.5267494240548704
bilstm_contrastive_only_seed42,pre_bn_raw,0.5858333333333333,0.5175,0.4655115008354187,0.6207798098765649
bilstm_contrastive_only_seed42,denoised,0.5966666666666667,0.5175,0.4608877897262573,0.6168337104266425
bilstm_contrastive_only_seed42,k562_specific,0.5975,0.5191666666666667,0.4608597159385681,0.616844120163901
bilstm_contrastive_only_seed42,hepg2_specific,0.5975,0.5175,0.4609173536300659,0.6169013702465956
bilstm_full_disentangle_seed42,pre_bn_raw,0.535,0.5216666666666666,0.44678694009780884,0.6048440646360396
bilstm_full_disentangle_seed42,denoised,0.5216666666666666,0.5225,0.43663495779037476,0.5962364306750105
bilstm_full_disentangle_seed42,k562_specific,0.52,0.52,0.43662339448928833,0.5962208091246681
bilstm_full_disentangle_seed42,hepg2_specific,0.5183333333333333,0.5175,0.43663543462753296,0.5962410799872817
bilstm_ranking_contrastive_seed42,pre_bn_raw,0.5283333333333333,0.485,0.4490222930908203,0.6130934584962776
bilstm_ranking_contrastive_seed42,denoised,0.5125,0.475,0.43930453062057495,0.6066888728563187
bilstm_ranking_contrastive_seed42,k562_specific,0.5141666666666667,0.47583333333333333,0.4392995834350586,0.606687782576966
bilstm_ranking_contrastive_seed42,hepg2_specific,0.5133333333333333,0.475,0.4393079876899719,0.6066777200624314
dilated_cnn_baseline_mse_seed42,pre_bn_raw,0.5716666666666667,0.5275,0.3437550663948059,0.5187030652101277
dilated_cnn_baseline_mse_seed42,denoised,0.5525,0.4791666666666667,0.34885644912719727,0.5208658782662496
dilated_cnn_ranking_seed42,pre_bn_raw,0.5533333333333333,0.49916666666666665,0.3351603150367737,0.51415027391165
dilated_cnn_ranking_seed42,denoised,0.55,0.49416666666666664,0.33551132678985596,0.5146486774093441
dilated_cnn_contrastive_only_seed42,pre_bn_raw,0.5875,0.49583333333333335,0.4686264991760254,0.6065913449376672
dilated_cnn_contrastive_only_seed42,denoised,0.5941666666666666,0.49416666666666664,0.4685075283050537,0.6066438530111571
dilated_cnn_contrastive_only_seed42,k562_specific,0.5958333333333333,0.49916666666666665,0.46850717067718506,0.6066441401528159
dilated_cnn_contrastive_only_seed42,hepg2_specific,0.5941666666666666,0.4975,0.4685056805610657,0.6066516123858314
dilated_cnn_full_disentangle_seed42,pre_bn_raw,0.55,0.5008333333333334,0.42381906509399414,0.5875438347857028
dilated_cnn_full_disentangle_seed42,denoised,0.56,0.5025,0.42387908697128296,0.5877830226311964
dilated_cnn_full_disentangle_seed42,k562_specific,0.5633333333333334,0.5025,0.42387813329696655,0.5877764462328082
dilated_cnn_full_disentangle_seed42,hepg2_specific,0.56,0.5,0.4238824248313904,0.5877539635614445
dilated_cnn_ranking_contrastive_seed42,pre_bn_raw,0.6183333333333333,0.5025,0.4859502911567688,0.6519350736286212
dilated_cnn_ranking_contrastive_seed42,denoised,0.6225,0.5091666666666667,0.4859350323677063,0.6518171672083121
dilated_cnn_ranking_contrastive_seed42,k562_specific,0.6216666666666667,0.5091666666666667,0.4859381914138794,0.6518166810964987
dilated_cnn_ranking_contrastive_seed42,hepg2_specific,0.6225,0.5083333333333333,0.4859347939491272,0.6518216324925397
